Species	Data Collected	Plot	Sex	Weight	Scale calibrated or not
DM	2013-07-16	2	F	null	T
DM	2013-07-16	7	M	33	T
DM	2013-07-16	3	M	null	T
DM	2013-07-16	1	M	null	T
DM	2013-07-18	3	M	40	T
DM	2013-07-18	7	M	48	T
DM	2013-07-18	4	F	29	T
DM	2013-07-18	6	F	37	T
DO	2013-08-19	8	F	52	T
DO	2013-10-17	3	F	33	T
DO	2013-10-17	3	F	50	T
DO	2013-12-10	9	F	40	T
DO	2013-12-10	1	M	45	T
DO	2013-12-11	8	F	41	T
DS	2013-11-12	9	F	117	T
DS	2013-11-13	11	F	126	T
DS	2013-11-13	17	M	132	F
DS	2013-11-13	14	F	113	F
DS	2013-11-13	11	F	122	T
DS	2013-11-13	4	F	107	T
DS	2013-11-13	4	F	115	T
DM	2014-01-09	1	M	40	T
DM	2014-01-09	1	F	36	T
DM	2014-03-13	1	F	51	T
DM	2014-03-13	1	F	44	T
DS	2014-03-13	1	F	146	T
NA	2014-01-08	2	null	null	null
DM	2014-01-08	2	M	44	T
PF	2014-01-08	2	F	7	T
DM	2014-01-08	2	M	45	T
OT	2014-01-08	2	null	null	null
DS	2014-01-08	2	M	157	F
OX	2014-01-08	2	null	null	null
NA	2014-02-18	2	M	218	F
PF	2014-02-18	2	F	7	T
DM	2014-02-18	2	M	52	T
PF	2015-03-11	3	M	8	T
NA	2015-04-08	3	F	null	null
null	2015-05-06	3	null	null	null
NA	2015-05-18	3	F	182	T
OT	2015-06-09	3	F	29	T
NA	2015-07-08	3	F	115	T
NA	2015-07-08	3	M	190	T
DM	1978-01-08	4	F	37	T
DM	1978-01-08	4	M	null	null
DM	1978-01-08	4	F	48	T
DO	1978-01-08	4	M	52	T
OL	1978-01-08	4	M	35	T
